Date;Open;High;Low;Close
12.09.2018;104910;105080;104750;104840
12.09.2018;104750;104800;104750;104760
12.09.2018;104840;104930;104840;104890
12.09.2018;104860;104870;104800;104800
12.09.2018;104830;104860;104820;104860
12.09.2018;104880;104880;104760;104760
12.09.2018;104760;104800;104760;104790
12.09.2018;104830;104890;104830;104890
12.09.2018;104850;104850;104850;104850
12.09.2018;104880;104890;104800;104820
12.09.2018;104870;104880;104870;104880
12.09.2018;104890;104890;104890;104890
12.09.2018;104880;104900;104880;104900
12.09.2018;104950;105050;104950;105030
12.09.2018;105030;105030;105030;105030
12.09.2018;105050;105140;105050;105120
12.09.2018;105100;105260;105100;105260
12.09.2018;105280;105290;105230;105290
12.09.2018;105300;105350;105300;105310
12.09.2018;105280;105340;105280;105340
12.09.2018;105330;105340;105290;105320
12.09.2018;105260;105270;105240;105240
12.09.2018;105250;105270;105230;105230
12.09.2018;105220;105240;105220;105220
12.09.2018;105200;105200;105180;105180
12.09.2018;105250;105270;105240;105270
12.09.2018;105270;105270;105200;105210
12.09.2018;105220;105220;105170;105170
12.09.2018;105190;105210;105180;105210
12.09.2018;105220;105240;105220;105240
12.09.2018;105280;105300;105270;105270
12.09.2018;105270;105270;105170;105220
12.09.2018;105240;105240;105150;105150
12.09.2018;105150;105180;105150;105160
12.09.2018;105160;105160;105160;105160
12.09.2018;105200;105200;105200;105200
12.09.2018;105190;105190;105120;105120
12.09.2018;105140;105150;105130;105140
12.09.2018;105180;105190;105170;105190
12.09.2018;105180;105180;105160;105160
12.09.2018;105190;105290;105190;105290
12.09.2018;105300;105300;105230;105230
12.09.2018;105230;105230;105230;105230
12.09.2018;105230;105230;105190;105190
12.09.2018;105190;105190;105190;105190
12.09.2018;105210;105240;105210;105240
12.09.2018;105260;105260;105240;105240
12.09.2018;105270;105340;105270;105340
12.09.2018;105350;105390;105330;105330
12.09.2018;105290;105290;105270;105270
12.09.2018;105270;105280;105260;105260
12.09.2018;105300;105300;105280;105280
12.09.2018;105300;105300;105300;105300
12.09.2018;105290;105290;105290;105290
12.09.2018;105320;105340;105260;105260
12.09.2018;105240;105240;105240;105240
12.09.2018;105240;105280;105240;105280
12.09.2018;105240;105240;105220;105220
12.09.2018;105280;105290;105280;105290
12.09.2018;105260;105330;105260;105280
12.09.2018;105270;105300;105270;105300
12.09.2018;105300;105300;105240;105240
12.09.2018;105240;105270;105240;105240
12.09.2018;105280;105280;105270;105270
12.09.2018;105300;105300;105280;105280
12.09.2018;105290;105340;105280;105340
12.09.2018;105300;105370;105300;105370
12.09.2018;105350;105380;105340;105350
12.09.2018;105390;105400;105370;105370
12.09.2018;105410;105410;105390;105390
12.09.2018;105380;105380;105370;105370
12.09.2018;105340;105340;105340;105340
12.09.2018;105300;105310;105300;105310
12.09.2018;105320;105320;105320;105320
12.09.2018;105330;105330;105330;105330
12.09.2018;105320;105320;105310;105320
12.09.2018;105360;105400;105360;105400
12.09.2018;105430;105480;105430;105450
12.09.2018;105410;105420;105380;105380
12.09.2018;105400;105400;105390;105390
12.09.2018;105390;105390;105390;105390
12.09.2018;105370;105390;105350;105390
12.09.2018;105400;105420;105400;105420
12.09.2018;105410;105450;105410;105440
12.09.2018;105440;105470;105430;105450
12.09.2018;105450;105450;105420;105420
12.09.2018;105420;105480;105420;105460
12.09.2018;105490;105490;105470;105470
12.09.2018;105450;105460;105430;105430
12.09.2018;105430;105440;105390;105390
12.09.2018;105400;105400;105400;105400
12.09.2018;105390;105410;105390;105410
12.09.2018;105420;105420;105420;105420
12.09.2018;105420;105430;105410;105430
12.09.2018;105450;105470;105420;105420
12.09.2018;105400;105400;105360;105360
12.09.2018;105340;105340;105270;105280
